accel,brake,gear,steer,clutch,focus,meta
0.1,,0,-0.21001907313234816,,-1.0,
0.1,,0,-0.20995252088749908,,-1.0,
0.1,,0,-0.20996249035520842,,-1.0,
0.1,,0,-0.2099724216257235,,-1.0,
0.1,,0,-0.2099065060007792,,-1.0,
0.1,,0,-0.20983932986842338,,-1.0,
0.1,,0,-0.20984927387133656,,-1.0,
0.1,,0,-0.20985924333904593,,-1.0,
0.1,,0,-0.20979267836179874,,-1.0,
0.1,,0,-0.2097261515817458,,-1.0,
0.1,,0,-0.20973608285226092,,-1.0,
0.1,,0,-0.20974605231997026,,-1.0,
0.1,,0,-0.20967948734272307,,-1.0,
0.1,,0,-0.20961293509787393,,-1.0,
0.1,,0,-0.20962289183318522,,-1.0,
0.1,,0,-0.20963283583609835,,-1.0,
0.1,,0,-0.20956690747875598,,53.5419,
0.1,,0,-0.20950035523390687,,-1.0,
0.1,,0,-0.20950968808171141,,-1.0,
0.1,,0,-0.20952025597213134,,-1.0,
0.1,,0,-0.2094536909948841,,-1.0,
0.1,,0,-0.2093877753699398,,-1.0,
0.1,,0,-0.2093977066404549,,-1.0,
0.1,,0,-0.20940765064336808,,-1.0,
0.1,,0,-0.20934172228602568,,-1.0,
0.1,,0,-0.2092751700411766,,-1.0,
0.1,,0,-0.20928573793159647,,-1.0,
0.1,,0,-0.2092956819345096,,-1.0,
0.1,,0,-0.20923036473227585,,-1.0,
0.1,,0,-0.20916379975502863,,-1.0,
0.1,,0,-0.2091737310255437,,-1.0,
0.1,,0,-0.2091843116483617,,-1.0,
0.1,,0,-0.20911774667111452,,-1.0,
0.1,,0,-0.2090524294688807,,-1.0,
0.1,,0,-0.2090623734717939,,-1.0,
0.1,,0,-0.20907230474230898,,-1.0,
0.1,,0,-0.2090063891173647,,-1.0,
0.1,,0,-0.2089404352952261,,-1.0,
0.1,,0,-0.208951003185646,,-1.0,
0.1,,0,-0.2089609471885592,,-1.0,
0.1,,0,-0.20889499336642056,,-1.0,
0.1,,0,-0.2088290650090782,,-1.0,
0.1,,0,-0.20883900901199137,,-1.0,
0.1,,0,-0.2088501880575199,,-1.0,
0.1,,0,-0.20878362308027265,,-1.0,
0.1,,0,-0.2087177074553284,,-1.0,
0.1,,0,-0.20872824988095207,,-1.0,
0.1,,0,-0.20873818115146714,,-1.0,
0.1,,0,-0.20867286394923334,,-1.0,
0.1,,0,-0.20860631170438426,,-1.0,
0.1,,0,-0.20861687959480413,,-1.0,
0.1,,0,-0.20862743475282594,,-1.0,
0.1,,0,-0.20856148093068738,,-1.0,
0.1,,0,-0.20849555257334498,,-1.0,
0.1,,0,-0.20850548384386006,,-1.0,
0.1,,0,-0.20851667562178663,,-1.0,
0.1,,0,-0.20845072179964808,,-1.0,
0.1,,0,-0.20838476797750946,,-1.0,
0.1,,0,-0.20839533586792938,,-1.0,
0.1,,0,-0.20840527987084254,,-1.0,
0.1,,0,-0.20833996266860877,,-1.0,
0.1,,0,-0.20827400884647018,,-1.0,
0.1,,0,-0.20828518789199868,,53.4631,
0.1,,0,-0.20829513189491186,,-1.0,
0.1,,0,-0.20822917807277327,,-1.0,
0.1,,0,-0.2081638608705395,,-1.0,
0.1,,0,-0.20817379214105458,,-1.0,
0.1,,0,-0.2081849711865831,,-1.0,
0.1,,0,-0.20811841894173402,,-1.0,
0.1,,0,-0.20805246511959544,,-1.0,
0.1,,0,-0.2080630330100153,,-1.0,
0.1,,0,-0.20807357543563898,,-1.0,
0.1,,0,-0.20800827096580332,,-1.0,
0.1,,0,-0.2079423171436647,,-1.0,
0.1,,0,-0.20795224841417978,,-1.0,
0.1,,0,-0.20796342745970833,,-1.0,
0.1,,0,-0.20789747363756972,,-1.0,
0.1,,0,-0.20783215643533592,,-1.0,
0.1,,0,-0.20784210043824913,,-1.0,
0.1,,0,-0.20785327948377763,,-1.0,
0.1,,0,-0.20778732566163904,,-1.0,
0.1,,0,-0.20772137183950048,,-1.0,
0.1,,0,-0.20773195246231846,,-1.0,
0.1,,0,-0.2077424948879422,,-1.0,
0.1,,0,-0.2076771776857084,,-1.0,
0.1,,0,-0.20761122386356978,,-1.0,
0.1,,0,-0.20762237744430212,,-1.0,
0.1,,0,-0.20763355648983065,,-1.0,
0.1,,0,-0.20756760266769203,,-1.0,
0.1,,0,-0.2075022854654583,,-1.0,
